Level,Date and Time,Source,Event ID,Task Category
Information,20/05/2026 22:29:44,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2995
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,20/05/2026 22:29:44,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2995
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,20/05/2026 22:29:44,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2995
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,20/05/2026 22:29:43,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Critical,20/05/2026 22:29:43,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Information,20/05/2026 22:29:43,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{b6f36d9a-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information,20/05/2026 22:29:43,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎2025‎-‎01‎-‎06T03:41:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,20/05/2026 22:29:42,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2002‎-‎03‎-‎01T12:12:42.000000000Z) has successfully loaded and registered with Filter Manager."
Information,20/05/2026 22:29:41,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information,20/05/2026 22:29:33,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2021‎-‎12‎-‎23T03:07:25.000000000Z) has successfully loaded and registered with Filter Manager."
Information,20/05/2026 22:29:33,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2090‎-‎03‎-‎16T19:56:17.000000000Z) has successfully loaded and registered with Filter Manager."
Information,20/05/2026 22:29:33,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎2062‎-‎12‎-‎23T06:21:06.000000000Z) has successfully loaded and registered with Filter Manager."
Information,20/05/2026 22:29:33,Microsoft-Windows-HAL,16,None,The iommu fault reporting has been initialized.
Information,20/05/2026 22:29:52,EventLog,6013,None,The system uptime is 21 seconds.
Information,20/05/2026 22:29:52,EventLog,6005,None,The Event log service was started.
Information,20/05/2026 22:29:52,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 19045  Multiprocessor Free.
Error,20/05/2026 22:29:52,EventLog,6008,None,The previous system shutdown at 19:49:37 on ‎20/‎05/‎2026 was unexpected.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was false. The last boot's success status was true.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,20/05/2026 22:29:33,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2026‎-‎05‎-‎20T21:29:31.500000000Z.
Information,20/05/2026 19:13:21,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information,20/05/2026 19:13:20,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information,20/05/2026 19:13:20,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,20/05/2026 19:13:19,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,20/05/2026 19:13:19,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneVideo_10.26041.10031.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,20/05/2026 19:13:18,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_22601.1401.7.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,20/05/2026 19:13:13,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Information,20/05/2026 19:13:13,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,20/05/2026 19:13:13,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Information,20/05/2026 19:13:12,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9MZ95KL8MR0L-Microsoft.ScreenSketch
Information,20/05/2026 19:13:11,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9MZ95KL8MR0L-Microsoft.ScreenSketch
Information,20/05/2026 19:13:11,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9PB1PFTHHM15-Microsoft.UI.Xaml.2.4
Information,20/05/2026 19:13:11,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
